id;ingresos;gastos_financieros;default
875;1468;90;1
876;1239;668;0
877;1554;0;1
878;1092;136;0
879;1131;309;1
880;1715;753;0
881;3478;4562;0
882;1162;362;0
883;1386;129;0
884;1316;0;0
885;1195;79;0
886;1022;523;0
887;1008;0;0
888;1227;189;1
889;1246;86;0
890;1659;187;0
891;1157;119;1
892;1708;191;0
893;1071;0;1
894;1141;0;0
895;1267;0;0
896;2044;308;0
897;1841;0;1
898;1913;136;0
899;2744;1160;0
900;2359;1887;0
901;1729;0;0
902;1379;150;0
903;1176;200;0
904;1468;340;0
905;1211;0;0
906;1141;269;0
907;1134;117;0
908;1498;0;0
909;1141;332;0
910;1841;792;0
911;1996;438;0
912;1197;169;0
913;2058;556;0
914;966;0;0
915;1078;246;0
916;1430;268;0
917;1071;0;1
918;1421;122;1
919;2346;420;0
920;1204;139;0
921;1176;150;0
922;966;34;0
923;1260;89;1
924;915;34;1
925;924;33;1
926;1080;201;0
927;1106;354;0
928;1227;0;0
929;1848;500;0
930;1470;0;0
931;1253;0;0
932;1404;142;0
933;1204;70;0
934;826;200;0
935;1227;0;1
936;1904;1188;1
937;1295;121;1
938;1365;210;0
939;973;0;1
940;1379;137;0
941;928;0;0
942;1484;209;0
943;1302;267;1
944;1064;0;1
945;952;0;0
946;1393;384;0
947;1227;40;0
948;1176;182;1
949;1188;0;0
950;1022;0;0
951;1848;808;0
952;1080;343;1
953;1596;519;0
954;1463;69;0
955;1778;947;1
956;959;230;0
957;1071;380;0
958;1554;701;0
959;2016;307;0
960;1201;254;0
961;1085;282;0
962;1862;0;1
963;2450;0;1
964;1057;0;0
965;1232;317;0
966;1274;497;0
967;1071;33;1
968;1519;0;0
969;1302;265;0
970;1303;147;0
971;1113;0;0
972;1463;421;0
973;1463;224;0
974;952;174;1
975;1400;376;1
976;3934;350;1
977;1267;432;0
978;1125;222;0
979;1004;0;1
980;994;0;0
981;1392;678;0
982;1631;635;0
983;1246;232;0
984;1214;236;0
985;1484;273;0
986;1449;87;0
987;1736;869;0
988;1484;125;1
989;1463;187;1
990;1258;481;0
991;1022;0;0
992;1252;70;0
993;1176;64;1
994;1022;34;0
995;1150;229;0
996;1463;372;0
997;1421;0;0
998;1050;108;0
999;938;151;0
1000;1169;0;0
1001;1085;0;0
1002;1372;172;0
1003;1288;324;0
1004;1176;207;0
1005;1540;307;0
1006;1078;127;0
1007;1360;311;0
1008;1057;51;0
1009;991;207;0
1010;1239;139;0
1011;1322;1223;1
1012;1344;74;1
1013;1977;1047;0
1014;991;258;0
1015;1456;133;0
1016;1211;0;0
1017;1281;95;0
1018;1672;529;0
1019;1260;213;1
1020;1701;612;0
1021;1341;186;0
1022;1596;4;0
1023;1297;0;0
1024;1029;143;0
1025;2254;0;1
1026;1958;34;0
1027;1372;256;0
1028;1554;132;0
1029;2086;0;1
1030;1932;185;0
1031;1428;120;1
1032;1113;0;0
1033;1757;709;0
1034;1316;0;0
1035;1197;73;0
1036;1386;577;0
1037;1392;254;1
1038;2606;568;0
1039;1190;0;1
1040;1190;32;0
1041;1162;196;0
1042;1953;113;1
1043;1701;515;0
1044;1302;84;0
1045;2651;227;1
